,Word,Frequency
1154,size.—Take,1
1155,portion,2
1156,depending,1
1157,pizza,9
1158,plate,1
1159,have.,1
1160,Roll,1
1161,properly,1
1162,prick,1
1163,fork,1
1164,regular,2
1165,intervals.—Put,1
1166,tbsp,1
1167,pan,2
1168,Put,3
1169,schezwan,1
1170,"sauce,",1
1171,mozzarella,1
1172,"cheese,",1
1173,"capsicum,",2
1174,onion,3
1175,corn,2
1176,it.—Cover,1
1177,flame,1
1178,25,1
1179,minutes.—Sprinkle,1
1180,italian,1
1181,mix,3
1182,"herbs,",1
1183,red,2
1184,chilli,1
1185,flakes,1
1186,Serve,1
1187,mouth-watering,1
1188,Pizza!#pizza,1
1189,#noovenpizza,1
1190,#panpizza5dsadaf__khann_Neeche,1
1191,se,10
1192,buri,1
1193,trha,1
1194,jal,1
1195,chuka,1
1196,h,6
1197,ye,7
1198,upar,2
1199,kaccha,1
1200,h😂5d7,1
1201,(1)_shivani_makhija_How,1
1202,sauce,3
1203,?5d1,1
1204,(4)__cutiepie_30Can,1
1205,cheese,4
1206,cubes,1
1207,mozarella,1
1208,cheese??5d2,1
1209,(1)_d_i_p_a_l_Which,1
1210,this?5dReplyView,1
1211,(1)dhivyazz123Any,1
1212,substitute,2
1213,yeast??5dReplyView,1
1214,(1)thakurain.nAny,1
1215,Yeast??5dReplyView,1
1216,(2)komal_dave98Can,1
1217,whole,2
1218,wheat,1
1219,flour,1
1220,Refined,1
1221,flour??5dReplyView,1
1222,(1)safa_mubeenaWhere,1
1223,get,6
1224,yeast5dReplyView,1
1225,(2)its_nilima77Wowoo5d1,1
1226,likeReplyvarunpasrija22Wow,1
1227,cheesy,1
1228,piza😋😍5d1,1
1229,likeReplykalpana_raut18🥺🤤5dReplypranju9822😋😋5dReply5,1
1230,weikfieldind,4
1231,othersfoodrush.recipeRunning,1
1232,maintaining,1
1233,diet,1
1234,routine.,1
1235,Try,3
1236,flavourful,1
1237,St.,1
1238,Dalfour,1
1239,hacks,1
1240,everyday.1wishanvi_17Your,1
1241,fully,1
1242,😍😍😍❤️1w1,1
1243,(1)arkita_adhikaryLove,1
1244,recipes..they,1
1245,amazing1w1,1
1246,(1)j.nehaYumm,1
1247,yumm,1
1248,plus,1
1249,healthy😋😋😋1w1,1
1250,(1)daspriya779👌👌👌👌You,1
1251,people,4
1252,come,1
1253,goodieesssss❤️1w1,1
1254,(1)sagarikakambetiPacked,1
1255,fruits,1
1256,nutrients1w1,1
1257,(2)bhumi_shhThis,1
1258,delicious1w2,1
1259,(2)i.m.saakshiGood..,1
1260,fruit,1
1261,spreads,1
1262,packed,2
1263,sugar.1w3,1
1264,(1)aswanideep86😋1w1,1
1265,likeReplyssharmaxxviiBadia..1w2,1
1266,likesReply_aditya.rajesh__Whoaaaaaaa!😍😍😍😍😍😍😍😍🔥🔥🔥🔥🔥1w1,1
1267,likeReplyriadeantonio😍😍😍😍1w1,1
1268,likeReplyitsdishatotlaniWooow😍😍1w1,1
1269,likeReplyAugust,3
1270,9Post,2
1271,asim_ak97,1
1272,"othersfoodrush.recipeCreamy,",1
1273,Cheesy,2
1274,mayonnaise,2
1275,snack.It,1
1276,takes,1
1277,less,1
1278,preparation.Ingredient½,1
1279,Cabbage1,1
1280,Onion1,1
1281,Capsicum1,1
1282,Carrot½,1
1283,Cheese½,1
1284,Tsp,1
1285,Black,1
1286,pepper¼,1
1287,MayonnaiseButter4,1
1288,Bread,1
1289,slicesSaltMethod,1
1290,In,3
1291,"bowl,",1
1292,take,5
1293,"cabbage,",1
1294,"onion,",1
1295,carrot,1
